journal_title,issn_print,issn_online,source,area,rank,active_status,source_type,best_rank,area_group,major_group
Marketing Letters,0923-0645,1573-059X,Scimago,Business and International Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Marketing Letters,0923-0645,1573-059X,Scimago,Economics and Econometrics,Q1,,,Q1,"Economics, Econometrics and Finance","Business, Economics & Management"
Marketing Letters,0923-0645,1573-059X,Scimago,Marketing,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Marketing Letters,0923-0645,1573-059X,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Marketing Letters,0923-0645,1573-059X,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Marketing Science,0732-2399,1526-548X,ABDC,Marketing,A*,,,,"Business, Management and Accounting","Business, Economics & Management"
Marketing Science,0732-2399,1526-548X,AJG,Marketing,4*,,,,"Business, Management and Accounting","Business, Economics & Management"
Marketing Science,0732-2399,1526-548X,Scimago,Business and International Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Marketing Science,0732-2399,1526-548X,Scimago,Economics and Econometrics,Q1,,,Q1,"Economics, Econometrics and Finance","Business, Economics & Management"
Marketing Science,0732-2399,1526-548X,Scimago,Marketing,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Marketing Science,0732-2399,1526-548X,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Marketing Theory,1470-5931,1741-301X,ABDC,Marketing,A,,,,"Business, Management and Accounting","Business, Economics & Management"
Marketing Theory,1470-5931,1741-301X,AJG,Marketing,3,,,,"Business, Management and Accounting","Business, Economics & Management"
Marketing Theory,1470-5931,1741-301X,Scimago,Marketing,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Marketing Theory,1470-5931,1741-301X,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Mathematical Finance,0960-1627,1467-9965,ABDC,"Banking, finance and investment",A ,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
Mathematical Finance,0960-1627,1467-9965,AJG,Finance & Accounting,3,,,,"Business, Management and Accounting","Business, Economics & Management"
Mathematical Finance,0960-1627,1467-9965,Scimago,Accounting,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Mathematical Finance,0960-1627,1467-9965,Scimago,Applied Mathematics,Q1,,,Q1,Mathematics,"Tech, Data & Quantitative Methods"
Mathematical Finance,0960-1627,1467-9965,Scimago,Economics and Econometrics,Q1,,,Q1,"Economics, Econometrics and Finance","Business, Economics & Management"
Mathematical Finance,0960-1627,1467-9965,Scimago,Finance,Q1,,,Q1,"Economics, Econometrics and Finance","Business, Economics & Management"
Mathematical Finance,0960-1627,1467-9965,Scimago,Social Sciences (miscellaneous),Q1,,,Q1,Social Sciences,Social Sciences & Humanities
Mathematical Finance,0960-1627,1467-9965,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Mathematical Finance,0960-1627,1467-9965,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Mathematical Finance,0960-1627,1467-9965,Scopus,Mathematics,,Active,Journal,,Mathematics,"Tech, Data & Quantitative Methods"
Mathematical Finance,0960-1627,1467-9965,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Mathematical Methods in Economics and Finance,1971-6419,1971-3878,ABDC,"Banking, finance and investment",C ,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
Mathematical Methods of Statistics,1066-5307,1934-8045,ABDC,Statistics,B ,,,,Mathematics,"Tech, Data & Quantitative Methods"
Mathematical Methods of Statistics,1066-5307,1934-8045,Scimago,Statistics and Probability,Q4,,,Q4,Mathematics,"Tech, Data & Quantitative Methods"
Mathematical Methods of Statistics,1066-5307,1934-8045,Scimago,"Statistics, Probability and Uncertainty",Q4,,,Q4,Decision Sciences,"Business, Economics & Management"
Mathematical Methods of Statistics,1066-5307,1934-8045,Scopus,Decision Sciences,,Active,Journal,,Decision Sciences,"Business, Economics & Management"
Mathematical Methods of Statistics,1066-5307,1934-8045,Scopus,Mathematics,,Active,Journal,,Mathematics,"Tech, Data & Quantitative Methods"
Mathematical Social Sciences,0165-4896,1879-3118,ABDC,Applied economics,A ,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
Mathematical Social Sciences,0165-4896,1879-3118,AJG,Economics,2,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
Mathematical Social Sciences,0165-4896,1879-3118,Scimago,Psychology (miscellaneous),Q3,,,Q3,Psychology,Social Sciences & Humanities
Mathematical Social Sciences,0165-4896,1879-3118,Scimago,Social Sciences (miscellaneous),Q3,,,Q3,Social Sciences,Social Sciences & Humanities
Mathematical Social Sciences,0165-4896,1879-3118,Scimago,Sociology and Political Science,Q3,,,Q3,Social Sciences,Social Sciences & Humanities
Mathematical Social Sciences,0165-4896,1879-3118,Scimago,"Statistics, Probability and Uncertainty",Q4,,,Q3,Decision Sciences,"Business, Economics & Management"
Mathematical Social Sciences,0165-4896,1879-3118,Scopus,Decision Sciences,,Active,Journal,,Decision Sciences,"Business, Economics & Management"
Mathematical Social Sciences,0165-4896,1879-3118,Scopus,Psychology,,Active,Journal,,Psychology,Social Sciences & Humanities
Mathematical Social Sciences,0165-4896,1879-3118,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Mathematics and Financial Economics,1862-9679,1862-9660,ABDC,Applied economics,C ,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
Mathematics and Financial Economics,1862-9679,1862-9660,Scimago,Finance,Q2,,,Q2,"Economics, Econometrics and Finance","Business, Economics & Management"
Mathematics and Financial Economics,1862-9679,1862-9660,Scimago,Statistics and Probability,Q2,,,Q2,Mathematics,"Tech, Data & Quantitative Methods"
Mathematics and Financial Economics,1862-9679,1862-9660,Scimago,"Statistics, Probability and Uncertainty",Q3,,,Q2,Decision Sciences,"Business, Economics & Management"
Mathematics and Financial Economics,1862-9679,1862-9660,Scopus,Decision Sciences,,Active,Journal,,Decision Sciences,"Business, Economics & Management"
Mathematics and Financial Economics,1862-9679,1862-9660,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Mathematics and Financial Economics,1862-9679,1862-9660,Scopus,Mathematics,,Active,Journal,,Mathematics,"Tech, Data & Quantitative Methods"
Mathematics of Operations Research,0364-765X,1526-5471,ABDC,"Strategy, management and organisational behaviour",A ,,,,"Business, Management and Accounting","Business, Economics & Management"
Mathematics of Operations Research,0364-765X,1526-5471,AJG,Management Science,3,,,,Decision Sciences,"Business, Economics & Management"
Mathematics of Operations Research,0364-765X,1526-5471,AJG,Operations Research,3,,,,Decision Sciences,"Business, Economics & Management"
Mathematics of Operations Research,0364-765X,1526-5471,AJG,Production & Operations Management,3,,,,Decision Sciences,"Business, Economics & Management"
Mathematics of Operations Research,0364-765X,1526-5471,Scimago,Computer Science Applications,Q1,,,Q1,Computer Science,"Tech, Data & Quantitative Methods"
Mathematics of Operations Research,0364-765X,1526-5471,Scimago,Management Science and Operations Research,Q1,,,Q1,Decision Sciences,"Business, Economics & Management"
Mathematics of Operations Research,0364-765X,1526-5471,Scimago,Mathematics (miscellaneous),Q1,,,Q1,Mathematics,"Tech, Data & Quantitative Methods"
Mathematics of Operations Research,0364-765X,1526-5471,Scopus,Computer Science,,Active,Journal,,Computer Science,"Tech, Data & Quantitative Methods"
Mathematics of Operations Research,0364-765X,1526-5471,Scopus,Decision Sciences,,Active,Journal,,Decision Sciences,"Business, Economics & Management"
Mathematics of Operations Research,0364-765X,1526-5471,Scopus,Mathematics,,Active,Journal,,Mathematics,"Tech, Data & Quantitative Methods"
Measuring Business Excellence,1368-3047,1758-8057,ABDC,"Strategy, management and organisational behaviour",B ,,,,"Business, Management and Accounting","Business, Economics & Management"
Measuring Business Excellence,1368-3047,1758-8057,Scimago,"Business, Management and Accounting (miscellaneous)",Q2,,,Q2,"Business, Management and Accounting","Business, Economics & Management"
Measuring Business Excellence,1368-3047,1758-8057,Scimago,Organizational Behavior and Human Resource Management,Q2,,,Q2,"Business, Management and Accounting","Business, Economics & Management"
Measuring Business Excellence,1368-3047,1758-8057,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Media Culture and Society,0163-4437,1460-3675,ABDC,"Other commerce, management, tourism and services",B ,,,,"Business, Management and Accounting","Business, Economics & Management"
Media Culture and Society,0163-4437,1460-3675,AJG,Communication,,,,,Social Sciences,Social Sciences & Humanities
Media Culture and Society,0163-4437,1460-3675,Scimago,Communication,Q1,,,Q1,Social Sciences,Social Sciences & Humanities
Media Culture and Society,0163-4437,1460-3675,Scimago,Sociology and Political Science,Q1,,,Q1,Social Sciences,Social Sciences & Humanities
Media Culture and Society,0163-4437,1460-3675,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Media and Arts Law Review,1325-1570,,ABDC,Commercial law,C ,,,,Social Sciences,Social Sciences & Humanities
Medical Law International,0968-5332,2047-9441,ABDC,Commercial law,C ,,,,Social Sciences,Social Sciences & Humanities
Medical Law International,0968-5332,2047-9441,Scimago,Law,Q2,,,Q2,Social Sciences,Social Sciences & Humanities
Medical Law International,0968-5332,2047-9441,Scimago,Medicine (miscellaneous),Q3,,,Q2,Medicine,Healthcare & Medical Systems
Medical Law International,0968-5332,2047-9441,Scopus,Medicine,,Active,Journal,,Medicine,Healthcare & Medical Systems
Medical Law International,0968-5332,2047-9441,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Meditari Accountancy Research,2049-372X,2049-3738,ABDC,"Accounting, auditing and accountability",A,,,,"Business, Management and Accounting","Business, Economics & Management"
Meditari Accountancy Research,2049-372X,2049-3738,Scimago,Accounting,Q2,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Meditari Accountancy Research,2049-372X,2049-3738,Scimago,"Economics, Econometrics and Finance (miscellaneous)",Q1,,,Q1,"Economics, Econometrics and Finance","Business, Economics & Management"
Meditari Accountancy Research,2049-372X,2049-3738,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Meditari Accountancy Research,2049-372X,2049-3738,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Melbourne Journal of International Law,1444-8602,1444-8610,ABDC,Commercial law,A,,,,Social Sciences,Social Sciences & Humanities
